Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Frs3,FRS3,Q91WJ0,FRS3_MOUSE,Fibroblast growth factor receptor substrate 3,12605,NA,TurboID unique,NA,NA,NA
Igsf11,IGSF11,P0C673,IGS11_MOUSE,Immunoglobulin superfamily member 11,11784,NA,TurboID unique,NA,NA,NA
Mtrf1,MTRF1,Q8K126,RF1M_MOUSE,"Peptide chain release factor 1, mitochondrial",11277,NA,TurboID unique,NA,NA,NA
Tdp2,TDP2,Q9JJX7,TYDP2_MOUSE,Tyrosyl-DNA phosphodiesterase 2,11094,NA,TurboID unique,NA,NA,NA
Aven,AVEN,Q9D9K3,AVEN_MOUSE,Cell death regulator Aven,10976,NA,TurboID unique,NA,NA,NA
Togaram1,TOGARAM1,Q6A070,TGRM1_MOUSE,TOG array regulator of axonemal microtubules protein 1,10927,NA,TurboID unique,NA,NA,NA
Trim12a,NA,Q99PQ1,TR12A_MOUSE,Tripartite motif-containing protein 12A,10799,NA,TurboID unique,NA,NA,NA
Tdrp,TDRP,Q8C5P7,TDRP_MOUSE,Testis development-related protein,10769,NA,TurboID unique,NA,NA,NA
Commd8,COMMD8,Q9CZG3,COMD8_MOUSE,COMM domain-containing protein 8,10238,NA,TurboID unique,NA,NA,NA
Crtc1,CRTC1,Q68ED7,CRTC1_MOUSE,CREB-regulated transcription coactivator 1,10230,NA,TurboID unique,NA,NA,NA
Megf10,MEGF10,Q6DIB5,MEG10_MOUSE,Multiple epidermal growth factor-like domains protein 10,10004,NA,TurboID unique,NA,NA,NA
Ccdc183,CCDC183,A2AJB1,CC183_MOUSE,Coiled-coil domain-containing protein 183,9609,NA,TurboID unique,NA,NA,NA
Jpt2,JPT2,Q6PGH2,JUPI2_MOUSE,Jupiter microtubule associated homolog 2,9419,NA,TurboID unique,NA,NA,NA
Depdc7,DEPDC7,Q91WS7,DEPD7_MOUSE,DEP domain-containing protein 7,9279,NA,TurboID unique,NA,NA,NA
Igdcc4,IGDCC4,Q9EQS9,IGDC4_MOUSE,Immunoglobulin superfamily DCC subclass member 4,9252,NA,TurboID unique,NA,NA,NA
Dennd1b,DENND1B,Q3U1T9,DEN1B_MOUSE,DENN domain-containing protein 1B,9072,NA,TurboID unique,NA,NA,NA
Parg,PARG,O88622,PARG_MOUSE,Poly(ADP-ribose) glycohydrolase,8874,NA,TurboID unique,NA,NA,NA
Parva,PARVA,Q9EPC1,PARVA_MOUSE,Alpha-parvin,8526,NA,TurboID unique,NA,NA,NA
Ubap2,UBAP2,Q91VX2,UBAP2_MOUSE,Ubiquitin-associated protein 2,7907,NA,TurboID unique,NA,NA,NA
Dvl3,DVL3,Q61062,DVL3_MOUSE,Segment polarity protein dishevelled homolog DVL-3,7880,NA,TurboID unique,NA,NA,NA
Dapp1,DAPP1,Q9QXT1,DAPP1_MOUSE,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,7877,NA,TurboID unique,NA,NA,NA
Notch1,NOTCH1,Q01705,NOTC1_MOUSE,Neurogenic locus notch homolog protein 1,7469,NA,TurboID unique,NA,NA,NA
Ajap1,AJAP1,A2ALI5,AJAP1_MOUSE,Adherens junction-associated protein 1,7469,NA,TurboID unique,NA,NA,NA
Tcf4,TCF4,Q60722,ITF2_MOUSE,Transcription factor 4,7330,NA,TurboID unique,NA,NA,NA
Mapk4,MAPK4,Q6P5G0,MK04_MOUSE,Mitogen-activated protein kinase 4,7291,NA,TurboID unique,NA,NA,NA
Pard3b,PARD3B,Q9CSB4,PAR3L_MOUSE,Partitioning defective 3 homolog B,7255,NA,TurboID unique,NA,NA,NA
Snupn,SNUPN,Q80W37,SPN1_MOUSE,Snurportin-1,7188,NA,TurboID unique,NA,NA,NA
Pttg1ip,PTTG1IP,Q8R143,PTTG_MOUSE,Pituitary tumor-transforming gene 1 protein-interacting protein,7102,NA,TurboID unique,NA,NA,NA
Cacul1,CACUL1,Q8R0X2,CACL1_MOUSE,CDK2-associated and cullin domain-containing protein 1,7051,NA,TurboID unique,NA,NA,NA
Tnrc6a,TNRC6A,Q3UHK8,TNR6A_MOUSE,Trinucleotide repeat-containing gene 6A protein,7029,NA,TurboID unique,NA,NA,NA
Tulp3,TULP3,O88413,TULP3_MOUSE,Tubby-related protein 3,6971,NA,TurboID unique,NA,NA,NA
Ccdc85c,CCDC85C,E9Q6B2,CC85C_MOUSE,Coiled-coil domain-containing protein 85C,6868,NA,TurboID unique,NA,NA,NA
Tgm3,TGM3,Q08189,TGM3_MOUSE,Protein-glutamine gamma-glutamyltransferase E,6776,NA,TurboID unique,NA,NA,NA
Tmod3,TMOD3,Q9JHJ0,TMOD3_MOUSE,Tropomodulin-3,6752,NA,TurboID unique,NA,NA,NA
Kcna5,KCNA5,Q61762,KCNA5_MOUSE,Potassium voltage-gated channel subfamily A member 5,6624,NA,TurboID unique,NA,NA,NA
Ccdc102a,CCDC102A,Q3TMW1,C102A_MOUSE,Coiled-coil domain-containing protein 102A,6518,NA,TurboID unique,NA,NA,NA
Rnf135,RNF135,Q9CWS1,RN135_MOUSE,E3 ubiquitin-protein ligase RNF135,6352,NA,TurboID unique,NA,NA,NA
Terf2,TERF2,O35144,TERF2_MOUSE,Telomeric repeat-binding factor 2,6322,NA,TurboID unique,NA,NA,NA
Klc4,KLC4,Q9DBS5,KLC4_MOUSE,Kinesin light chain 4,6156,NA,TurboID unique,NA,NA,NA
Lpcat3,LPCAT3,Q91V01,MBOA5_MOUSE,Lysophospholipid acyltransferase 5,6151,NA,TurboID unique,NA,NA,NA
Vangl2,VANGL2,Q91ZD4,VANG2_MOUSE,Vang-like protein 2,6075,NA,TurboID unique,NA,NA,NA
Phactr3,PHACTR3,Q8BYK5,PHAR3_MOUSE,Phosphatase and actin regulator 3,6061,NA,TurboID unique,NA,NA,NA
Chmp5,CHMP5,Q9D7S9,CHMP5_MOUSE,Charged multivesicular body protein 5,6061,NA,TurboID unique,NA,NA,NA
Hsbp1,HSBP1,Q9CQZ1,HSBP1_MOUSE,Heat shock factor-binding protein 1,6033,NA,TurboID unique,NA,NA,NA
Fgd6,FGD6,Q69ZL1,FGD6_MOUSE,"FYVE, RhoGEF and PH domain-containing protein 6",5991,NA,TurboID unique,NA,NA,NA
Syt13,SYT13,Q9EQT6,SYT13_MOUSE,Synaptotagmin-13,5950,NA,TurboID unique,NA,NA,NA
Stx2,STX2,Q00262,STX2_MOUSE,Syntaxin-2,5811,NA,TurboID unique,NA,NA,NA
Caskin2,CASKIN2,Q8VHK1,CSKI2_MOUSE,Caskin-2,5694,NA,TurboID unique,NA,NA,NA
Gkap1,GKAP1,Q9JMB0,GKAP1_MOUSE,G kinase-anchoring protein 1,5532,NA,TurboID unique,NA,NA,NA
Lrmda,LRMDA,Q9D9B4,LRMDA_MOUSE,Leucine-rich melanocyte differentiation-associated protein,5410,NA,TurboID unique,NA,NA,NA
B4galt1,B4GALT1,P15535,B4GT1_MOUSE,"Beta-1,4-galactosyltransferase 1",5399,NA,TurboID unique,NA,NA,NA
Mcrip2,MCRIP2,Q9CQB2,MCRI2_MOUSE,MAPK regulated corepressor interacting protein 2,5250,NA,TurboID unique,NA,NA,NA
Sybu,SYBU,Q8BHS8,SYBU_MOUSE,Syntabulin,5219,NA,TurboID unique,NA,NA,NA
Ccdc43,CCDC43,Q9CR29,CCD43_MOUSE,Coiled-coil domain-containing protein 43,5190,NA,TurboID unique,NA,NA,NA
Sncg,SNCG,Q9Z0F7,SYUG_MOUSE,Gamma-synuclein,5145,NA,TurboID unique,NA,NA,NA
Larp4,LARP4,Q8BWW4,LARP4_MOUSE,La-related protein 4,5124,NA,TurboID unique,NA,NA,NA
Frs2,FRS2,Q8C180,FRS2_MOUSE,Fibroblast growth factor receptor substrate 2,5096,NA,TurboID unique,NA,NA,NA
Dok1,DOK1,P97465,DOK1_MOUSE,Docking protein 1,5068,NA,TurboID unique,NA,NA,NA
Bicd1,BICD1,Q8BR07,BICD1_MOUSE,Protein bicaudal D homolog 1,5016,NA,TurboID unique,NA,NA,NA
Ankrd34b,ANKRD34B,Q3UUF8,AN34B_MOUSE,Ankyrin repeat domain-containing protein 34B,4958,NA,TurboID unique,NA,NA,NA
Lrrc14,LRRC14,Q8VC16,LRC14_MOUSE,Leucine-rich repeat-containing protein 14,4933,NA,TurboID unique,NA,NA,NA
Cystm1,CYSTM1,Q8K353,CYTM1_MOUSE,Cysteine-rich and transmembrane domain-containing protein 1,4932,NA,TurboID unique,NA,NA,NA
Ppp1r18,PPP1R18,Q8BQ30,PPR18_MOUSE,Phostensin,4907,NA,TurboID unique,NA,NA,NA
Pxn,PXN,Q8VI36,PAXI_MOUSE,Paxillin,4882,NA,TurboID unique,NA,NA,NA
Lifr,LIFR,P42703,LIFR_MOUSE,Leukemia inhibitory factor receptor,4851,NA,TurboID unique,NA,NA,NA
Cers2,CERS2,Q924Z4,CERS2_MOUSE,Ceramide synthase 2,4811,NA,TurboID unique,NA,NA,NA
Kmt2d,KMT2D,Q6PDK2,KMT2D_MOUSE,Histone-lysine N-methyltransferase 2D,4783,NA,TurboID unique,NA,NA,NA
Rgl3,RGL3,Q3UYI5,RGL3_MOUSE,Ral guanine nucleotide dissociation stimulator-like 3,4780,NA,TurboID unique,NA,NA,NA
Rnf121,RNF121,Q8R1Z9,RN121_MOUSE,RING finger protein 121,4745,NA,TurboID unique,NA,NA,NA
Adgrg1,ADGRG1,Q8K209,AGRG1_MOUSE,Adhesion G-protein coupled receptor G1,4715,NA,TurboID unique,NA,NA,NA
Nexn,NEXN,Q7TPW1,NEXN_MOUSE,Nexilin,4658,NA,TurboID unique,NA,NA,NA
Grid2,GRID2,Q61625,GRID2_MOUSE,"Glutamate receptor ionotropic, delta-2",4653,NA,TurboID unique,NA,NA,NA
Fbxo30,FBXO30,Q8BJL1,FBX30_MOUSE,F-box only protein 30,4650,NA,TurboID unique,NA,NA,NA
Arhgef6,ARHGEF6,Q8K4I3,ARHG6_MOUSE,Rho guanine nucleotide exchange factor 6,4527,NA,TurboID unique,NA,NA,NA
Uri1,URI1,Q3TLD5,RMP_MOUSE,Unconventional prefoldin RPB5 interactor,4468,NA,TurboID unique,NA,NA,NA
Rc3h2,RC3H2,P0C090,RC3H2_MOUSE,Roquin-2,4443,NA,TurboID unique,NA,NA,NA
Nt5c1a,NT5C1A,A3KFX0,5NT1A_MOUSE,Cytosolic 5'-nucleotidase 1A,4392,NA,TurboID unique,NA,NA,NA
Samsn1,SAMSN1,P57725,SAMN1_MOUSE,SAM domain-containing protein SAMSN-1,4363,NA,TurboID unique,NA,NA,NA
Lrch2,LRCH2,Q3UMG5,LRCH2_MOUSE,Leucine-rich repeat and calponin homology domain-containing protein 2,4328,NA,TurboID unique,NA,NA,NA
Tfeb,TFEB,Q9R210,TFEB_MOUSE,Transcription factor EB,4325,NA,TurboID unique,NA,NA,NA
Borcs6,BORCS6,Q9D6W8,BORC6_MOUSE,BLOC-1-related complex subunit 6,4263,NA,TurboID unique,NA,NA,NA
Dab2,DAB2,P98078,DAB2_MOUSE,Disabled homolog 2,4252,NA,TurboID unique,NA,NA,NA
Syndig1,SYNDIG1,A2ANU3,SYNG1_MOUSE,Synapse differentiation-inducing gene protein 1,4234,NA,TurboID unique,NA,NA,NA
Irak1,IRAK1,Q62406,IRAK1_MOUSE,Interleukin-1 receptor-associated kinase 1,4197,NA,TurboID unique,NA,NA,NA
Nectin2,NECTIN2,P32507,NECT2_MOUSE,Nectin-2,4190,NA,TurboID unique,NA,NA,NA
Gigyf2,GIGYF2,Q6Y7W8,GGYF2_MOUSE,GRB10-interacting GYF protein 2,4180,NA,TurboID unique,NA,NA,NA
Rhbdf1,RHBDF1,Q6PIX5,RHDF1_MOUSE,Inactive rhomboid protein 1,4179,NA,TurboID unique,NA,NA,NA
Usp6nl,USP6NL,Q80XC3,US6NL_MOUSE,USP6 N-terminal-like protein,4172,NA,TurboID unique,NA,NA,NA
Fig4,FIG4,Q91WF7,FIG4_MOUSE,Polyphosphoinositide phosphatase,4169,NA,TurboID unique,NA,NA,NA
Tnfaip8,TNFAIP8,Q921Z5,TFIP8_MOUSE,Tumor necrosis factor alpha-induced protein 8,4155,NA,TurboID unique,NA,NA,NA
Ikbkg,IKBKG,O88522,NEMO_MOUSE,NF-kappa-B essential modulator,4147,NA,TurboID unique,NA,NA,NA
Pter,PTER,Q60866,PTER_MOUSE,Phosphotriesterase-related protein,4135,NA,TurboID unique,NA,NA,NA
Fbf1,FBF1,A2A870,FBF1_MOUSE,Fas-binding factor 1,4111,NA,TurboID unique,NA,NA,NA
Rmdn2,RMDN2,Q8BSE0,RMD2_MOUSE,Regulator of microtubule dynamics protein 2,4109,NA,TurboID unique,NA,NA,NA
Synpo2,SYNPO2,Q91YE8,SYNP2_MOUSE,Synaptopodin-2,4107,NA,TurboID unique,NA,NA,NA
Mid1ip1,MID1IP1,Q9CQ20,M1IP1_MOUSE,Mid1-interacting protein 1,4106,NA,TurboID unique,NA,NA,NA
Amn1,AMN1,B8JKV0,AMN1_MOUSE,Protein AMN1 homolog,4053,NA,TurboID unique,NA,NA,NA
Wsb2,WSB2,O54929,WSB2_MOUSE,WD repeat and SOCS box-containing protein 2,4041,NA,TurboID unique,NA,NA,NA
Ctdsp1,CTDSP1,P58466,CTDS1_MOUSE,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,4032,NA,TurboID unique,NA,NA,NA
Alkbh3,ALKBH3,Q8K1E6,ALKB3_MOUSE,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,4020,NA,TurboID unique,NA,NA,NA
Cd44,CD44,P15379,CD44_MOUSE,CD44 antigen,3997,NA,TurboID unique,NA,NA,NA
Stac2,STAC2,Q8R1B0,STAC2_MOUSE,SH3 and cysteine-rich domain-containing protein 2,3963,NA,TurboID unique,NA,NA,NA
Pcnp,PCNP,Q6P8I4,PCNP_MOUSE,PEST proteolytic signal-containing nuclear protein,3914,NA,TurboID unique,NA,NA,NA
Fgfr1,FGFR1,P16092,FGFR1_MOUSE,Fibroblast growth factor receptor 1,3903,NA,TurboID unique,NA,NA,NA
Unc119,UNC119,Q9Z2R6,U119A_MOUSE,Protein unc-119 homolog A,3878,NA,TurboID unique,NA,NA,NA
Gpat4,GPAT4,Q8K2C8,GPAT4_MOUSE,Glycerol-3-phosphate acyltransferase 4,3875,NA,TurboID unique,NA,NA,NA
Plekha7,PLEKHA7,Q3UIL6,PKHA7_MOUSE,Pleckstrin homology domain-containing family A member 7,3813,NA,TurboID unique,NA,NA,NA
Pigb,PIGB,Q9JJQ0,PIGB_MOUSE,GPI mannosyltransferase 3,3812,NA,TurboID unique,NA,NA,NA
Decr2,DECR2,Q9WV68,DECR2_MOUSE,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",3780,NA,TurboID unique,NA,NA,NA
Txlng,TXLNG,Q8BHN1,TXLNG_MOUSE,Gamma-taxilin,3754,NA,TurboID unique,NA,NA,NA
Rtkn,RTKN,Q8C6B2,RTKN_MOUSE,Rhotekin,3747,NA,TurboID unique,NA,NA,NA
Tbc1d2,TBC1D2,B1AVH7,TBD2A_MOUSE,TBC1 domain family member 2A,3745,NA,TurboID unique,NA,NA,NA
Gng4,GNG4,P50153,GBG4_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4,3725,NA,TurboID unique,NA,NA,NA
Slc22a5,SLC22A5,Q9Z0E8,S22A5_MOUSE,Solute carrier family 22 member 5,3666,NA,TurboID unique,NA,NA,NA
Rc3h1,RC3H1,Q4VGL6,RC3H1_MOUSE,Roquin-1,3622,NA,TurboID unique,NA,NA,NA
Ttc4,TTC4,Q8R3H9,TTC4_MOUSE,Tetratricopeptide repeat protein 4,3558,NA,TurboID unique,NA,NA,NA
Ccdc50,CCDC50,Q810U5,CCD50_MOUSE,Coiled-coil domain-containing protein 50,3543,NA,TurboID unique,NA,NA,NA
Rufy2,RUFY2,Q8R4C2,RUFY2_MOUSE,RUN and FYVE domain-containing protein 2,3538,NA,TurboID unique,NA,NA,NA
Foxo1,FOXO1,Q9R1E0,FOXO1_MOUSE,Forkhead box protein O1,3529,NA,TurboID unique,NA,NA,NA
Fads6,FADS6,Q80UG1,FADS6_MOUSE,Fatty acid desaturase 6,3489,NA,TurboID unique,NA,NA,NA
Fam189a1,FAM189A1,Q6A044,F1891_MOUSE,Protein FAM189A1,3485,NA,TurboID unique,NA,NA,NA
Fam114a1,FAM114A1,Q9D281,NXP20_MOUSE,Protein Noxp20,3471,NA,TurboID unique,NA,NA,NA
Kif1c,KIF1C,O35071,KIF1C_MOUSE,Kinesin-like protein KIF1C,3463,NA,TurboID unique,NA,NA,NA
Kcnc4,KCNC4,Q8R1C0,KCNC4_MOUSE,Potassium voltage-gated channel subfamily C member 4,3437,NA,TurboID unique,NA,NA,NA
Tspan6,TSPAN6,O70401,TSN6_MOUSE,Tetraspanin-6,3398,NA,TurboID unique,NA,NA,NA
Mxra8,MXRA8,Q9DBV4,MXRA8_MOUSE,Matrix remodeling-associated protein 8,3390,NA,TurboID unique,NA,NA,NA
Gpr50,GPR50,O88495,MTR1L_MOUSE,Melatonin-related receptor,3382,NA,TurboID unique,NA,NA,NA
Arr3,ARR3,Q9EQP6,ARRC_MOUSE,Arrestin-C,3367,NA,TurboID unique,NA,NA,NA
Adra1a,ADRA1A,P97718,ADA1A_MOUSE,Alpha-1A adrenergic receptor,3360,NA,TurboID unique,NA,NA,NA
Zfp36l2,ZFP36L2,P23949,TISD_MOUSE,mRNA decay activator protein ZFP36L2,3358,NA,TurboID unique,NA,NA,NA
Zmat2,ZMAT2,Q9CPW7,ZMAT2_MOUSE,Zinc finger matrin-type protein 2,3350,NA,TurboID unique,NA,NA,NA
Orai2,ORAI2,Q8BH10,ORAI2_MOUSE,Protein orai-2,3343,NA,TurboID unique,NA,NA,NA
Dhrs3,DHRS3,O88876,DHRS3_MOUSE,Short-chain dehydrogenase/reductase 3,3342,NA,TurboID unique,NA,NA,NA
Abtb2,ABTB2,Q7TQI7,ABTB2_MOUSE,Ankyrin repeat and BTB/POZ domain-containing protein 2,3320,NA,TurboID unique,NA,NA,NA
Dusp12,DUSP12,Q9D0T2,DUS12_MOUSE,Dual specificity protein phosphatase 12,3315,NA,TurboID unique,NA,NA,NA
Spata18,SPATA18,Q0P557,MIEAP_MOUSE,Mitochondria-eating protein,3305,NA,TurboID unique,NA,NA,NA
Stx18,STX18,Q8VDS8,STX18_MOUSE,Syntaxin-18,3296,NA,TurboID unique,NA,NA,NA
Rwdd4,NA,Q9CPR1,RWDD4_MOUSE,RWD domain-containing protein 4,3280,NA,TurboID unique,NA,NA,NA
Lmbrd1,LMBRD1,Q8K0B2,LMBD1_MOUSE,Lysosomal cobalamin transport escort protein LMBD1,3274,NA,TurboID unique,NA,NA,NA
Tmf1,TMF1,B9EKI3,TMF1_MOUSE,TATA element modulatory factor,3263,NA,TurboID unique,NA,NA,NA
Hykk,HYKK,Q5U5V2,HYKK_MOUSE,Hydroxylysine kinase,3246,NA,TurboID unique,NA,NA,NA
Commd10,COMMD10,Q8JZY2,COMDA_MOUSE,COMM domain-containing protein 10,3212,NA,TurboID unique,NA,NA,NA
Copz2,COPZ2,Q9JHH9,COPZ2_MOUSE,Coatomer subunit zeta-2,3202,NA,TurboID unique,NA,NA,NA
Abhd13,ABHD13,Q80UX8,ABHDD_MOUSE,Protein ABHD13,3200,NA,TurboID unique,NA,NA,NA
Snx11,SNX11,Q91WL6,SNX11_MOUSE,Sorting nexin-11,3193,NA,TurboID unique,NA,NA,NA
Dennd2a,DENND2A,Q8C4S8,DEN2A_MOUSE,DENN domain-containing protein 2A,3191,NA,TurboID unique,NA,NA,NA
Sytl4,SYTL4,Q9R0Q1,SYTL4_MOUSE,Synaptotagmin-like protein 4,3163,NA,TurboID unique,NA,NA,NA
Cbwd1,CBWD1,Q8VEH6,CBWD1_MOUSE,COBW domain-containing protein 1,3162,NA,TurboID unique,NA,NA,NA
Prkd3,PRKD3,Q8K1Y2,KPCD3_MOUSE,Serine/threonine-protein kinase D3,3150,NA,TurboID unique,NA,NA,NA
Szrd1,SZRD1,Q6NXN1,SZRD1_MOUSE,SUZ domain-containing protein 1,3129,NA,TurboID unique,NA,NA,NA
Slc39a7,SLC39A7,Q31125,S39A7_MOUSE,Zinc transporter SLC39A7,3125,NA,TurboID unique,NA,NA,NA
Dchs1,DCHS1,E9PVD3,PCD16_MOUSE,Protocadherin-16,3103,NA,TurboID unique,NA,NA,NA
Arhgap18,ARHGAP18,Q8K0Q5,RHG18_MOUSE,Rho GTPase-activating protein 18,3088,NA,TurboID unique,NA,NA,NA
Phldb1,PHLDB1,Q6PDH0,PHLB1_MOUSE,Pleckstrin homology-like domain family B member 1,3085,NA,TurboID unique,NA,NA,NA
Lsm14b,LSM14B,Q8CGC4,LS14B_MOUSE,Protein LSM14 homolog B,3032,NA,TurboID unique,NA,NA,NA
Adam17,ADAM17,Q9Z0F8,ADA17_MOUSE,Disintegrin and metalloproteinase domain-containing protein 17,3028,NA,TurboID unique,NA,NA,NA
Clip4,CLIP4,Q8CI96,CLIP4_MOUSE,CAP-Gly domain-containing linker protein 4,2997,NA,TurboID unique,NA,NA,NA
Tbc1d8,TBC1D8,Q9Z1A9,TBCD8_MOUSE,TBC1 domain family member 8,2992,NA,TurboID unique,NA,NA,NA
Mrps31,MRPS31,Q61733,RT31_MOUSE,"28S ribosomal protein S31, mitochondrial",2965,NA,TurboID unique,NA,NA,NA
Snf8,SNF8,Q9CZ28,SNF8_MOUSE,Vacuolar-sorting protein SNF8,2958,NA,TurboID unique,NA,NA,NA
Arrb2,ARRB2,Q91YI4,ARRB2_MOUSE,Beta-arrestin-2,2945,NA,TurboID unique,NA,NA,NA
Samd4b,SAMD4B,Q80XS6,SMAG2_MOUSE,Protein Smaug homolog 2,2927,NA,TurboID unique,NA,NA,NA
Acot8,ACOT8,P58137,ACOT8_MOUSE,Acyl-coenzyme A thioesterase 8,2925,NA,TurboID unique,NA,NA,NA
Lrrc4,LRRC4,Q99PH1,LRRC4_MOUSE,Leucine-rich repeat-containing protein 4,2916,NA,TurboID unique,NA,NA,NA
Bbs7,BBS7,Q8K2G4,BBS7_MOUSE,Bardet-Biedl syndrome 7 protein homolog,2913,NA,TurboID unique,NA,NA,NA
Ticam1,TICAM1,Q80UF7,TCAM1_MOUSE,TIR domain-containing adapter molecule 1,2892,NA,TurboID unique,NA,NA,NA
Fam135a,FAM135A,Q6NS59,F135A_MOUSE,Protein FAM135A,2851,NA,TurboID unique,NA,NA,NA
Ddrgk1,DDRGK1,Q80WW9,DDRGK_MOUSE,DDRGK domain-containing protein 1,2834,NA,TurboID unique,NA,NA,NA
Afap1,AFAP1,Q80YS6,AFAP1_MOUSE,Actin filament-associated protein 1,2805,NA,TurboID unique,NA,NA,NA
Wipf1,WIPF1,Q8K1I7,WIPF1_MOUSE,WAS/WASL-interacting protein family member 1,2797,NA,TurboID unique,NA,NA,NA
Mre11,NA,Q61216,MRE11_MOUSE,Double-strand break repair protein MRE11,2791,NA,TurboID unique,NA,NA,NA
Pdcl3,PDCL3,Q8BVF2,PDCL3_MOUSE,Phosducin-like protein 3,2787,NA,TurboID unique,NA,NA,NA
Crcp,CRCP,O35427,RPC9_MOUSE,DNA-directed RNA polymerase III subunit RPC9,2767,NA,TurboID unique,NA,NA,NA
Tut7,NA,Q5BLK4,TUT7_MOUSE,Terminal uridylyltransferase 7,2763,NA,TurboID unique,NA,NA,NA
Ythdf1,YTHDF1,P59326,YTHD1_MOUSE,YTH domain-containing family protein 1,2758,NA,TurboID unique,NA,NA,NA
Garem2,GAREM2,Q6PAJ3,GARE2_MOUSE,GRB2-associated and regulator of MAPK protein 2,2751,NA,TurboID unique,NA,NA,NA
Cuedc2,CUEDC2,Q9CXX9,CUED2_MOUSE,CUE domain-containing protein 2,2702,NA,TurboID unique,NA,NA,NA
Slc16a3,SLC16A3,P57787,MOT4_MOUSE,Monocarboxylate transporter 4,2692,NA,TurboID unique,NA,NA,NA
Insyn1,NA,Q8CD60,INSY1_MOUSE,Inhibitory synaptic factor 1,2683,NA,TurboID unique,NA,NA,NA
Rab9b,RAB9B,Q8BHH2,RAB9B_MOUSE,Ras-related protein Rab-9B,2670,NA,TurboID unique,NA,NA,NA
Ctnnbip1,CTNNBIP1,Q9JJN6,CNBP1_MOUSE,Beta-catenin-interacting protein 1,2669,NA,TurboID unique,NA,NA,NA
Fgd1,FGD1,P52734,FGD1_MOUSE,"FYVE, RhoGEF and PH domain-containing protein 1",2656,NA,TurboID unique,NA,NA,NA
Irs1,IRS1,P35569,IRS1_MOUSE,Insulin receptor substrate 1,2645,NA,TurboID unique,NA,NA,NA
Elmod3,ELMOD3,Q91YP6,ELMD3_MOUSE,ELMO domain-containing protein 3,2639,NA,TurboID unique,NA,NA,NA
Iftap,NA,Q9CQI4,IFTAP_MOUSE,Intraflagellar transport-associated protein,2637,NA,TurboID unique,NA,NA,NA
Scd2,NA,P13011,SCD2_MOUSE,Stearoyl-CoA desaturase 2,2634,NA,TurboID unique,NA,NA,NA
Pdlim7,PDLIM7,Q3TJD7,PDLI7_MOUSE,PDZ and LIM domain protein 7,2616,NA,TurboID unique,NA,NA,NA
Sts,NA,P50427,STS_MOUSE,Steryl-sulfatase,2591,NA,TurboID unique,NA,NA,NA
