Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Atp11b,ATP11B,Q6DFW5,AT11B_MOUSE,Phospholipid-transporting ATPase IF,50055,NA,TurboID unique,NA,NA,NA
Tmem33,TMEM33,Q9CR67,TMM33_MOUSE,Transmembrane protein 33,49985,NA,TurboID unique,NA,NA,NA
Fundc2,FUNDC2,Q9D6K8,FUND2_MOUSE,FUN14 domain-containing protein 2,49699,NA,TurboID unique,NA,NA,NA
Agpat3,AGPAT3,Q9D517,PLCC_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,49570,NA,TurboID unique,NA,NA,NA
Slc6a9,SLC6A9,P28571,SC6A9_MOUSE,Sodium- and chloride-dependent glycine transporter 1,48925,NA,TurboID unique,NA,NA,NA
Abcg2,ABCG2,Q7TMS5,ABCG2_MOUSE,Broad substrate specificity ATP-binding cassette transporter ABCG2,48323,NA,TurboID unique,NA,NA,NA
Ap1s2,AP1S2,Q9DB50,AP1S2_MOUSE,AP-1 complex subunit sigma-2,47323,NA,TurboID unique,NA,NA,NA
Slitrk2,SLITRK2,Q810C0,SLIK2_MOUSE,SLIT and NTRK-like protein 2,45580,NA,TurboID unique,NA,NA,NA
Kansl3,KANSL3,A2RSY1,KANL3_MOUSE,KAT8 regulatory NSL complex subunit 3,45488,NA,TurboID unique,NA,NA,NA
Pzp,NA,Q61838,PZP_MOUSE,Pregnancy zone protein,45472,NA,TurboID unique,NA,NA,NA
Kcnj3,KCNJ3,P63250,KCNJ3_MOUSE,G protein-activated inward rectifier potassium channel 1,45410,NA,TurboID unique,NA,NA,NA
Acbd5,ACBD5,Q5XG73,ACBD5_MOUSE,Acyl-CoA-binding domain-containing protein 5,45343,NA,TurboID unique,NA,NA,NA
Fmn2,FMN2,Q9JL04,FMN2_MOUSE,Formin-2,45198,NA,TurboID unique,NA,NA,NA
Dnajc24,DNAJC24,Q91ZF0,DJC24_MOUSE,DnaJ homolog subfamily C member 24,44851,NA,TurboID unique,NA,NA,NA
Hcn2,HCN2,O88703,HCN2_MOUSE,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,44841,NA,TurboID unique,NA,NA,NA
Ptpra,PTPRA,P18052,PTPRA_MOUSE,Receptor-type tyrosine-protein phosphatase alpha,44659,NA,TurboID unique,NA,NA,NA
Afdn,AFDN,Q9QZQ1,AFAD_MOUSE,Afadin,44100,NA,TurboID unique,NA,NA,NA
Rab1b,RAB1B,Q9D1G1,RAB1B_MOUSE,Ras-related protein Rab-1B,43731,NA,TurboID unique,NA,NA,NA
Mrs2,MRS2,Q5NCE8,MRS2_MOUSE,"Magnesium transporter MRS2 homolog, mitochondrial",43646,NA,TurboID unique,NA,NA,NA
Steap3,STEAP3,Q8CI59,STEA3_MOUSE,Metalloreductase STEAP3,43487,NA,TurboID unique,NA,NA,NA
Abcd3,ABCD3,P55096,ABCD3_MOUSE,ATP-binding cassette sub-family D member 3,43330,NA,TurboID unique,NA,NA,NA
Smarca4,SMARCA4,Q3TKT4,SMCA4_MOUSE,Transcription activator BRG1,42619,NA,TurboID unique,NA,NA,NA
Tapt1,TAPT1,Q4VBD2,TAPT1_MOUSE,Transmembrane anterior posterior transformation protein 1,42529,NA,TurboID unique,NA,NA,NA
Eif2ak4,EIF2AK4,Q9QZ05,E2AK4_MOUSE,eIF-2-alpha kinase GCN2,42495,NA,TurboID unique,NA,NA,NA
Kcnc1,KCNC1,P15388,KCNC1_MOUSE,Potassium voltage-gated channel subfamily C member 1,41649,NA,TurboID unique,NA,NA,NA
Reep2,REEP2,Q8VCD6,REEP2_MOUSE,Receptor expression-enhancing protein 2,40899,NA,TurboID unique,NA,NA,NA
Inppl1,INPPL1,Q6P549,SHIP2_MOUSE,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",40018,NA,TurboID unique,NA,NA,NA
Mpc1,MPC1,P63030,MPC1_MOUSE,Mitochondrial pyruvate carrier 1,39752,NA,TurboID unique,NA,NA,NA
Clcn4,CLCN4,Q61418,CLCN4_MOUSE,H(+)/Cl(-) exchange transporter 4,39394,NA,TurboID unique,NA,NA,NA
Rhot2,RHOT2,Q8JZN7,MIRO2_MOUSE,Mitochondrial Rho GTPase 2,39270,NA,TurboID unique,NA,NA,NA
Plxna4,PLXNA4,Q80UG2,PLXA4_MOUSE,Plexin-A4,39240,NA,TurboID unique,NA,NA,NA
Slc7a10,SLC7A10,P63115,AAA1_MOUSE,Asc-type amino acid transporter 1,38842,NA,TurboID unique,NA,NA,NA
Neo1,NEO1,P97798,NEO1_MOUSE,Neogenin,38680,NA,TurboID unique,NA,NA,NA
Itgb8,ITGB8,Q0VBD0,ITB8_MOUSE,Integrin beta-8,38327,NA,TurboID unique,NA,NA,NA
Dgke,DGKE,Q9R1C6,DGKE_MOUSE,Diacylglycerol kinase epsilon,38197,NA,TurboID unique,NA,NA,NA
Dst,DST,Q91ZU6,DYST_MOUSE,Dystonin,38142,NA,TurboID unique,NA,NA,NA
Reep1,REEP1,Q8BGH4,REEP1_MOUSE,Receptor expression-enhancing protein 1,38101,NA,TurboID unique,NA,NA,NA
Surf4,SURF4,Q64310,SURF4_MOUSE,Surfeit locus protein 4,38017,NA,TurboID unique,NA,NA,NA
Dmd,DMD,P11531,DMD_MOUSE,Dystrophin,37592,NA,TurboID unique,NA,NA,NA
Timm22,TIMM22,Q9CQ85,TIM22_MOUSE,Mitochondrial import inner membrane translocase subunit Tim22,37512,NA,TurboID unique,NA,NA,NA
Pomgnt2,POMGNT2,Q8BW41,PMGT2_MOUSE,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",37259,NA,TurboID unique,NA,NA,NA
Dnajb7,DNAJB7,Q9QYI8,DNJB7_MOUSE,DnaJ homolog subfamily B member 7,36884,NA,TurboID unique,NA,NA,NA
Tecpr1,TECPR1,Q80VP0,TCPR1_MOUSE,Tectonin beta-propeller repeat-containing protein 1,36353,NA,TurboID unique,NA,NA,NA
Stt3b,STT3B,Q3TDQ1,STT3B_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,36027,NA,TurboID unique,NA,NA,NA
Tmem160,TMEM160,Q9D938,TM160_MOUSE,Transmembrane protein 160,35998,NA,TurboID unique,NA,NA,NA
Atp9a,ATP9A,O70228,ATP9A_MOUSE,Probable phospholipid-transporting ATPase IIA,35845,NA,TurboID unique,NA,NA,NA
Cpsf1,CPSF1,Q9EPU4,CPSF1_MOUSE,Cleavage and polyadenylation specificity factor subunit 1,35816,NA,TurboID unique,NA,NA,NA
Amotl1,AMOTL1,Q9D4H4,AMOL1_MOUSE,Angiomotin-like protein 1,35529,NA,TurboID unique,NA,NA,NA
Efr3b,EFR3B,Q6ZQ18,EFR3B_MOUSE,Protein EFR3 homolog B,35367,NA,TurboID unique,NA,NA,NA
Egfr,EGFR,Q01279,EGFR_MOUSE,Epidermal growth factor receptor,35300,NA,TurboID unique,NA,NA,NA
Lgi3,LGI3,Q8K406,LGI3_MOUSE,Leucine-rich repeat LGI family member 3,35286,NA,TurboID unique,NA,NA,NA
Padi2,PADI2,Q08642,PADI2_MOUSE,Protein-arginine deiminase type-2,35273,NA,TurboID unique,NA,NA,NA
Kdsr,KDSR,Q6GV12,KDSR_MOUSE,3-ketodihydrosphingosine reductase,35026,NA,TurboID unique,NA,NA,NA
Ei24,EI24,Q61070,EI24_MOUSE,Etoposide-induced protein 2.4,34981,NA,TurboID unique,NA,NA,NA
Aifm1,AIFM1,Q9Z0X1,AIFM1_MOUSE,"Apoptosis-inducing factor 1, mitochondrial",34959,NA,TurboID unique,NA,NA,NA
Ndufa3,NDUFA3,Q9CQ91,NDUA3_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,34948,NA,TurboID unique,NA,NA,NA
Kcnj6,KCNJ6,P48542,KCNJ6_MOUSE,G protein-activated inward rectifier potassium channel 2,34899,NA,TurboID unique,NA,NA,NA
Slc30a1,SLC30A1,Q60738,ZNT1_MOUSE,Zinc transporter 1,34862,NA,TurboID unique,NA,NA,NA
Hic1,HIC1,Q9R1Y5,HIC1_MOUSE,Hypermethylated in cancer 1 protein,34184,NA,TurboID unique,NA,NA,NA
Esyt1,ESYT1,Q3U7R1,ESYT1_MOUSE,Extended synaptotagmin-1,34165,NA,TurboID unique,NA,NA,NA
Cpt1a,CPT1A,P97742,CPT1A_MOUSE,"Carnitine O-palmitoyltransferase 1, liver isoform",34165,NA,TurboID unique,NA,NA,NA
Shisa9,SHISA9,Q9CZN4,SHSA9_MOUSE,Protein shisa-9,33832,NA,TurboID unique,NA,NA,NA
Sema4a,SEMA4A,Q62178,SEM4A_MOUSE,Semaphorin-4A,33811,NA,TurboID unique,NA,NA,NA
Mfsd6,MFSD6,Q8CBH5,MFSD6_MOUSE,Major facilitator superfamily domain-containing protein 6,33703,NA,TurboID unique,NA,NA,NA
Ankle2,ANKLE2,Q6P1H6,ANKL2_MOUSE,Ankyrin repeat and LEM domain-containing protein 2,33505,NA,TurboID unique,NA,NA,NA
Yes1,YES1,Q04736,YES_MOUSE,Tyrosine-protein kinase Yes,33488,NA,TurboID unique,NA,NA,NA
Dnajc30,DNAJC30,P59041,DJC30_MOUSE,"DnaJ homolog subfamily C member 30, mitochondrial",33483,NA,TurboID unique,NA,NA,NA
Macf1,MACF1,Q9QXZ0,MACF1_MOUSE,Microtubule-actin cross-linking factor 1,33113,NA,TurboID unique,NA,NA,NA
Snap47,SNAP47,Q8R570,SNP47_MOUSE,Synaptosomal-associated protein 47,32810,NA,TurboID unique,NA,NA,NA
Ndc1,NDC1,Q8VCB1,NDC1_MOUSE,Nucleoporin NDC1,32377,NA,TurboID unique,NA,NA,NA
Slc4a8,SLC4A8,Q8JZR6,S4A8_MOUSE,Electroneutral sodium bicarbonate exchanger 1,32279,NA,TurboID unique,NA,NA,NA
Fxr1,FXR1,Q61584,FXR1_MOUSE,Fragile X mental retardation syndrome-related protein 1,32000,NA,TurboID unique,NA,NA,NA
Rer1,RER1,Q9CQU3,RER1_MOUSE,Protein RER1,31875,NA,TurboID unique,NA,NA,NA
Trappc9,TRAPPC9,Q3U0M1,TPPC9_MOUSE,Trafficking protein particle complex subunit 9,31834,NA,TurboID unique,NA,NA,NA
Tm9sf3,TM9SF3,Q9ET30,TM9S3_MOUSE,Transmembrane 9 superfamily member 3,31754,NA,TurboID unique,NA,NA,NA
Lta4h,LTA4H,P24527,LKHA4_MOUSE,Leukotriene A-4 hydrolase,31714,NA,TurboID unique,NA,NA,NA
Adgra1,ADGRA1,Q8C4G9,AGRA1_MOUSE,Adhesion G protein-coupled receptor A1,31632,NA,TurboID unique,NA,NA,NA
Hsd17b10,HSD17B10,O08756,HCD2_MOUSE,3-hydroxyacyl-CoA dehydrogenase type-2,31411,NA,TurboID unique,NA,NA,NA
Ubac2,UBAC2,Q8R1K1,UBAC2_MOUSE,Ubiquitin-associated domain-containing protein 2,31211,NA,TurboID unique,NA,NA,NA
Slc6a13,SLC6A13,P31649,S6A13_MOUSE,Sodium- and chloride-dependent GABA transporter 2,30959,NA,TurboID unique,NA,NA,NA
Slc6a7,SLC6A7,Q6PGE7,SC6A7_MOUSE,Sodium-dependent proline transporter,30267,NA,TurboID unique,NA,NA,NA
Rab12,RAB12,P35283,RAB12_MOUSE,Ras-related protein Rab-12,30188,NA,TurboID unique,NA,NA,NA
Ptprm,PTPRM,P28828,PTPRM_MOUSE,Receptor-type tyrosine-protein phosphatase mu,30135,NA,TurboID unique,NA,NA,NA
Gdpd1,GDPD1,Q9CRY7,GDPD1_MOUSE,Lysophospholipase D GDPD1,29676,NA,TurboID unique,NA,NA,NA
Gpr162,GPR162,Q3UN16,GP162_MOUSE,Probable G-protein coupled receptor 162,29566,NA,TurboID unique,NA,NA,NA
Mlc1,MLC1,Q8VHK5,MLC1_MOUSE,Membrane protein MLC1,29491,NA,TurboID unique,NA,NA,NA
Slc22a23,SLC22A23,Q3UHH2,S22AN_MOUSE,Solute carrier family 22 member 23,29387,NA,TurboID unique,NA,NA,NA
Ssr3,SSR3,Q9DCF9,SSRG_MOUSE,Translocon-associated protein subunit gamma,29386,NA,TurboID unique,NA,NA,NA
Esyt2,ESYT2,Q3TZZ7,ESYT2_MOUSE,Extended synaptotagmin-2,29298,NA,TurboID unique,NA,NA,NA
Tktl1,TKTL1,Q99MX0,TKTL1_MOUSE,Transketolase-like protein 1,29280,NA,TurboID unique,NA,NA,NA
Tomm40l,TOMM40L,Q9CZR3,TM40L_MOUSE,Mitochondrial import receptor subunit TOM40B,29227,NA,TurboID unique,NA,NA,NA
Ctnna1,CTNNA1,P26231,CTNA1_MOUSE,Catenin alpha-1,29145,NA,TurboID unique,NA,NA,NA
Kcnc2,KCNC2,Q14B80,KCNC2_MOUSE,Potassium voltage-gated channel subfamily C member 2,29133,NA,TurboID unique,NA,NA,NA
Gpaa1,GPAA1,Q9WTK3,GPAA1_MOUSE,Glycosylphosphatidylinositol anchor attachment 1 protein,29006,NA,TurboID unique,NA,NA,NA
Appl2,APPL2,Q8K3G9,DP13B_MOUSE,DCC-interacting protein 13-beta,28960,NA,TurboID unique,NA,NA,NA
Slc20a2,SLC20A2,Q80UP8,S20A2_MOUSE,Sodium-dependent phosphate transporter 2,28903,NA,TurboID unique,NA,NA,NA
Kcnq2,KCNQ2,Q9Z351,KCNQ2_MOUSE,Potassium voltage-gated channel subfamily KQT member 2,28733,NA,TurboID unique,NA,NA,NA
Stom,STOM,P54116,STOM_MOUSE,Stomatin,28598,NA,TurboID unique,NA,NA,NA
Slc7a8,SLC7A8,Q9QXW9,LAT2_MOUSE,Large neutral amino acids transporter small subunit 2,28579,NA,TurboID unique,NA,NA,NA
Slc7a14,SLC7A14,Q8BXR1,S7A14_MOUSE,Probable cationic amino acid transporter,28571,NA,TurboID unique,NA,NA,NA
Eif3b,EIF3B,Q8JZQ9,EIF3B_MOUSE,Eukaryotic translation initiation factor 3 subunit B,28552,NA,TurboID unique,NA,NA,NA
Mtfr1l,MTFR1L,Q9CWE0,MFR1L_MOUSE,Mitochondrial fission regulator 1-like,28528,NA,TurboID unique,NA,NA,NA
Mical1,MICAL1,Q8VDP3,MICA1_MOUSE,[F-actin]-monooxygenase MICAL1,28524,NA,TurboID unique,NA,NA,NA
Cntnap2,CNTNAP2,Q9CPW0,CNTP2_MOUSE,Contactin-associated protein-like 2,28435,NA,TurboID unique,NA,NA,NA
Pld2,PLD2,P97813,PLD2_MOUSE,Phospholipase D2,27977,NA,TurboID unique,NA,NA,NA
Slc13a5,SLC13A5,Q67BT3,S13A5_MOUSE,Solute carrier family 13 member 5,27934,NA,TurboID unique,NA,NA,NA
Plxna2,PLXNA2,P70207,PLXA2_MOUSE,Plexin-A2,27912,NA,TurboID unique,NA,NA,NA
Vkorc1,VKORC1,Q9CRC0,VKOR1_MOUSE,Vitamin K epoxide reductase complex subunit 1,27888,NA,TurboID unique,NA,NA,NA
Appl1,APPL1,Q8K3H0,DP13A_MOUSE,DCC-interacting protein 13-alpha,27874,NA,TurboID unique,NA,NA,NA
Atp5mj,NA,P56379,ATP68_MOUSE,"ATP synthase subunit ATP5MJ, mitochondrial",27848,NA,TurboID unique,NA,NA,NA
Slc23a2,SLC23A2,Q9EPR4,S23A2_MOUSE,Solute carrier family 23 member 2,27541,NA,TurboID unique,NA,NA,NA
Slc25a44,SLC25A44,Q8BGF9,S2544_MOUSE,Solute carrier family 25 member 44,27514,NA,TurboID unique,NA,NA,NA
Sh3gl1,SH3GL1,Q62419,SH3G1_MOUSE,Endophilin-A2,27504,NA,TurboID unique,NA,NA,NA
Gjb6,GJB6,P70689,CXB6_MOUSE,Gap junction beta-6 protein,27421,NA,TurboID unique,NA,NA,NA
Rab5b,RAB5B,P61021,RAB5B_MOUSE,Ras-related protein Rab-5B,27378,NA,TurboID unique,NA,NA,NA
L2hgdh,L2HGDH,Q91YP0,L2HDH_MOUSE,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",27299,NA,TurboID unique,NA,NA,NA
Sh3bgrl2,SH3BGRL2,Q8BG73,SH3L2_MOUSE,SH3 domain-binding glutamic acid-rich-like protein 2,27143,NA,TurboID unique,NA,NA,NA
Kcnd2,KCND2,Q9Z0V2,KCND2_MOUSE,Potassium voltage-gated channel subfamily D member 2,27104,NA,TurboID unique,NA,NA,NA
Ppp1r9b,PPP1R9B,Q6R891,NEB2_MOUSE,Neurabin-2,27051,NA,TurboID unique,NA,NA,NA
Derl1,DERL1,Q99J56,DERL1_MOUSE,Derlin-1,26877,NA,TurboID unique,NA,NA,NA
Degs1,DEGS1,O09005,DEGS1_MOUSE,Sphingolipid delta(4)-desaturase DES1,26711,NA,TurboID unique,NA,NA,NA
Ap3b1,AP3B1,Q9Z1T1,AP3B1_MOUSE,AP-3 complex subunit beta-1,26663,NA,TurboID unique,NA,NA,NA
Eva1a,EVA1A,Q91WM6,EVA1A_MOUSE,Protein eva-1 homolog A,26618,NA,TurboID unique,NA,NA,NA
Abcd2,ABCD2,Q61285,ABCD2_MOUSE,ATP-binding cassette sub-family D member 2,26550,NA,TurboID unique,NA,NA,NA
Slc15a2,SLC15A2,Q9ES07,S15A2_MOUSE,Solute carrier family 15 member 2,26439,NA,TurboID unique,NA,NA,NA
Kirrel3,KIRREL3,Q8BR86,KIRR3_MOUSE,Kin of IRRE-like protein 3,26415,NA,TurboID unique,NA,NA,NA
Tomm20,TOMM20,Q9DCC8,TOM20_MOUSE,Mitochondrial import receptor subunit TOM20 homolog,26383,NA,TurboID unique,NA,NA,NA
Nlgn2,NLGN2,Q69ZK9,NLGN2_MOUSE,Neuroligin-2,26361,NA,TurboID unique,NA,NA,NA
Fads2,FADS2,Q9Z0R9,FADS2_MOUSE,Acyl-CoA 6-desaturase,26249,NA,TurboID unique,NA,NA,NA
Slc22a8,SLC22A8,O88909,S22A8_MOUSE,Solute carrier family 22 member 8,26210,NA,TurboID unique,NA,NA,NA
Pnkd,PNKD,Q69ZP3,PNKD_MOUSE,Probable hydrolase PNKD,26044,NA,TurboID unique,NA,NA,NA
Gprc5b,GPRC5B,Q923Z0,GPC5B_MOUSE,G-protein coupled receptor family C group 5 member B,25878,NA,TurboID unique,NA,NA,NA
Ptprj,PTPRJ,Q64455,PTPRJ_MOUSE,Receptor-type tyrosine-protein phosphatase eta,25860,NA,TurboID unique,NA,NA,NA
Lgi2,LGI2,Q8K4Z0,LGI2_MOUSE,Leucine-rich repeat LGI family member 2,25756,NA,TurboID unique,NA,NA,NA
Thsd7a,THSD7A,Q69ZU6,THS7A_MOUSE,Thrombospondin type-1 domain-containing protein 7A,25714,NA,TurboID unique,NA,NA,NA
Vmp1,VMP1,Q99KU0,VMP1_MOUSE,Vacuole membrane protein 1,25680,NA,TurboID unique,NA,NA,NA
Tmem165,TMEM165,P52875,TM165_MOUSE,Transmembrane protein 165,25656,NA,TurboID unique,NA,NA,NA
Slc25a36,SLC25A36,Q922G0,S2536_MOUSE,Solute carrier family 25 member 36,25492,NA,TurboID unique,NA,NA,NA
Trak1,TRAK1,Q6PD31,TRAK1_MOUSE,Trafficking kinesin-binding protein 1,25451,NA,TurboID unique,NA,NA,NA
Slc7a11,SLC7A11,Q9WTR6,XCT_MOUSE,Cystine/glutamate transporter,25445,NA,TurboID unique,NA,NA,NA
Mpdu1,MPDU1,Q9R0Q9,MPU1_MOUSE,Mannose-P-dolichol utilization defect 1 protein,25292,NA,TurboID unique,NA,NA,NA
Ilvbl,ILVBL,Q8BU33,HACL2_MOUSE,2-hydroxyacyl-CoA lyase 2,25075,NA,TurboID unique,NA,NA,NA
Nkain4,NKAIN4,Q9JMG4,NKAI4_MOUSE,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4,25057,NA,TurboID unique,NA,NA,NA
Pcyox1l,PCYOX1L,Q8C7K6,PCYXL_MOUSE,Prenylcysteine oxidase-like,25034,NA,TurboID unique,NA,NA,NA
Tenm4,TENM4,Q3UHK6,TEN4_MOUSE,Teneurin-4,25013,NA,TurboID unique,NA,NA,NA
Tfrc,TFRC,Q62351,TFR1_MOUSE,Transferrin receptor protein 1,24985,NA,TurboID unique,NA,NA,NA
Slc20a1,SLC20A1,Q61609,S20A1_MOUSE,Sodium-dependent phosphate transporter 1,24985,NA,TurboID unique,NA,NA,NA
Rpl35a,RPL35A,O55142,RL35A_MOUSE,60S ribosomal protein L35a,24905,NA,TurboID unique,NA,NA,NA
Adgrb1,ADGRB1,Q3UHD1,AGRB1_MOUSE,Adhesion G protein-coupled receptor B1,24791,NA,TurboID unique,NA,NA,NA
Rundc3a,RUNDC3A,O08576,RUN3A_MOUSE,RUN domain-containing protein 3A,24752,NA,TurboID unique,NA,NA,NA
Tmem177,TMEM177,Q8BPE4,TM177_MOUSE,Transmembrane protein 177,24689,NA,TurboID unique,NA,NA,NA
Xpnpep1,XPNPEP1,Q6P1B1,XPP1_MOUSE,Xaa-Pro aminopeptidase 1,24558,NA,TurboID unique,NA,NA,NA
Isoc1,ISOC1,Q91V64,ISOC1_MOUSE,Isochorismatase domain-containing protein 1,24505,NA,TurboID unique,NA,NA,NA
Vkorc1l1,VKORC1L1,Q6TEK5,VKORL_MOUSE,Vitamin K epoxide reductase complex subunit 1-like protein 1,24498,NA,TurboID unique,NA,NA,NA
Fam171a2,FAM171A2,A2A699,F1712_MOUSE,Protein FAM171A2,24493,NA,TurboID unique,NA,NA,NA
Mboat7,MBOAT7,Q8CHK3,MBOA7_MOUSE,Lysophospholipid acyltransferase 7,24449,NA,TurboID unique,NA,NA,NA
Gpr37,GPR37,Q9QY42,GPR37_MOUSE,Prosaposin receptor GPR37,24430,NA,TurboID unique,NA,NA,NA
Ap1m1,AP1M1,P35585,AP1M1_MOUSE,AP-1 complex subunit mu-1,24366,NA,TurboID unique,NA,NA,NA
Prmt1,PRMT1,Q9JIF0,ANM1_MOUSE,Protein arginine N-methyltransferase 1,24360,NA,TurboID unique,NA,NA,NA
Osbpl8,OSBPL8,B9EJ86,OSBL8_MOUSE,Oxysterol-binding protein-related protein 8,24202,NA,TurboID unique,NA,NA,NA
Cd81,CD81,P35762,CD81_MOUSE,CD81 antigen,24026,NA,TurboID unique,NA,NA,NA
Tmem41b,TMEM41B,Q8K1A5,TM41B_MOUSE,Transmembrane protein 41B,23938,NA,TurboID unique,NA,NA,NA
Tm9sf4,TM9SF4,Q8BH24,TM9S4_MOUSE,Transmembrane 9 superfamily member 4,23796,NA,TurboID unique,NA,NA,NA
Mogs,MOGS,Q80UM7,MOGS_MOUSE,Mannosyl-oligosaccharide glucosidase,23764,NA,TurboID unique,NA,NA,NA
Shroom2,SHROOM2,A2ALU4,SHRM2_MOUSE,Protein Shroom2,23727,NA,TurboID unique,NA,NA,NA
Atic,ATIC,Q9CWJ9,PUR9_MOUSE,Bifunctional purine biosynthesis protein ATIC,23655,NA,TurboID unique,NA,NA,NA
Amfr,AMFR,Q9R049,AMFR_MOUSE,E3 ubiquitin-protein ligase AMFR,23568,NA,TurboID unique,NA,NA,NA
Slc12a6,SLC12A6,Q924N4,S12A6_MOUSE,Solute carrier family 12 member 6,23385,NA,TurboID unique,NA,NA,NA
Nckipsd,NCKIPSD,Q9ESJ4,SPN90_MOUSE,NCK-interacting protein with SH3 domain,23384,NA,TurboID unique,NA,NA,NA
Phkb,PHKB,Q7TSH2,KPBB_MOUSE,Phosphorylase b kinase regulatory subunit beta,23370,NA,TurboID unique,NA,NA,NA
Mavs,MAVS,Q8VCF0,MAVS_MOUSE,Mitochondrial antiviral-signaling protein,23301,NA,TurboID unique,NA,NA,NA
Serinc1,SERINC1,Q9QZI8,SERC1_MOUSE,Serine incorporator 1,23290,NA,TurboID unique,NA,NA,NA
