Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein description,LPS avg abundance,PBS avg abundance,Differentially Expressed?,logFC (LPS_vs_PBS),P.Value (LPS_vs_PBS),adj.P.Value (LPS_vs_PBS)
Acot7,ACOT7,Q91V12,BACH_MOUSE,Cytosolic acyl coenzyme A thioester hydrolase,71628,69229,No,0.06,0.812662,0.999933
Acot8,ACOT8,P58137,ACOT8_MOUSE,Acyl-coenzyme A thioesterase 8,8197,7606,No,0.10,0.700975,0.999933
Acot9,ACOT9,Q9R0X4,ACOT9_MOUSE,"Acyl-coenzyme A thioesterase 9, mitochondrial",11665,12205,No,-0.06,0.829850,0.999933
Acox3,ACOX3,Q9EPL9,ACOX3_MOUSE,Peroxisomal acyl-coenzyme A oxidase 3,13626,14213,No,-0.04,0.880381,0.999933
Acsbg1,ACSBG1,Q99PU5,ACBG1_MOUSE,Long-chain-fatty-acid--CoA ligase ACSBG1,50574,41367,No,0.32,0.192379,0.999933
Acsf2,ACSF2,Q8VCW8,ACSF2_MOUSE,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",21265,21099,No,0.02,0.942416,0.999933
Acsl1,ACSL1,P41216,ACSL1_MOUSE,Long-chain-fatty-acid--CoA ligase 1,111833,94782,No,0.23,0.355675,0.999933
Acsl3,ACSL3,Q9CZW4,ACSL3_MOUSE,Long-chain-fatty-acid--CoA ligase 3,46360,45277,No,0.03,0.885953,0.999933
Acsl4,ACSL4,Q9QUJ7,ACSL4_MOUSE,Long-chain-fatty-acid--CoA ligase 4,16404,16883,No,-0.03,0.886622,0.999933
Acsl5,ACSL5,Q8JZR0,ACSL5_MOUSE,Long-chain-fatty-acid--CoA ligase 5,15543,12565,No,0.27,0.320737,0.999933
Acsl6,ACSL6,Q91WC3,ACSL6_MOUSE,Long-chain-fatty-acid--CoA ligase 6,119268,100586,No,0.30,0.268341,0.999933
Acss1,ACSS1,Q99NB1,ACS2L_MOUSE,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",8907,8253,No,0.14,0.648192,0.999933
Acss2,ACSS2,Q9QXG4,ACSA_MOUSE,"Acetyl-coenzyme A synthetase, cytoplasmic",6576,6087,No,0.12,0.660780,0.999933
Acta2,ACTA2,P62737,ACTA_MOUSE,"Actin, aortic smooth muscle",68622,67368,No,-0.07,0.821212,0.999933
Actbl2,ACTBL2,Q8BFZ3,ACTBL_MOUSE,Beta-actin-like protein 2,178459,236726,No,-0.04,0.958335,0.999933
Actn1,ACTN1,Q7TPR4,ACTN1_MOUSE,Alpha-actinin-1,15751,19037,No,-0.18,0.572658,0.999933
Actn4,ACTN4,P57780,ACTN4_MOUSE,Alpha-actinin-4,8487,9061,No,-0.10,0.821331,0.999933
Actr1b,ACTR1B,Q8R5C5,ACTY_MOUSE,Beta-centractin,10528,8949,No,0.28,0.275199,0.999933
Actr2,ACTR2,P61161,ARP2_MOUSE,Actin-related protein 2,9222,9001,No,0.07,0.816616,0.999933
Actr3,ACTR3,Q99JY9,ARP3_MOUSE,Actin-related protein 3,7478,9541,No,-0.25,0.493733,0.999933
Actr3b,ACTR3B,Q641P0,ARP3B_MOUSE,Actin-related protein 3B,7145,7647,No,-0.02,0.963263,0.999933
Acvr1b,ACVR1B,Q61271,ACV1B_MOUSE,Activin receptor type-1B,3909,3802,No,0.02,0.945172,0.999933
Adam11,ADAM11,Q9R1V4,ADA11_MOUSE,Disintegrin and metalloproteinase domain-containing protein 11,15239,15691,No,-0.03,0.906387,0.999933
Adam22,ADAM22,Q9R1V6,ADA22_MOUSE,Disintegrin and metalloproteinase domain-containing protein 22,78843,75630,No,0.08,0.784137,0.999933
Adam23,ADAM23,Q9R1V7,ADA23_MOUSE,Disintegrin and metalloproteinase domain-containing protein 23,22660,22589,No,-0.01,0.968556,0.999933
Adam9,ADAM9,Q61072,ADAM9_MOUSE,Disintegrin and metalloproteinase domain-containing protein 9,4864,5365,No,-0.19,0.487869,0.999933
Adck1,ADCK1,Q9D0L4,ADCK1_MOUSE,AarF domain-containing protein kinase 1,11665,10162,No,0.22,0.494058,0.999933
Adck5,ADCK5,Q80V03,ADCK5_MOUSE,Uncharacterized aarF domain-containing protein kinase 5,6570,6179,No,0.02,0.927805,0.999933
Adcy1,ADCY1,O88444,ADCY1_MOUSE,Adenylate cyclase type 1,32540,31911,No,-0.04,0.901013,0.999933
Adcy2,ADCY2,Q80TL1,ADCY2_MOUSE,Adenylate cyclase type 2,16095,14671,No,0.13,0.620323,0.999933
Adcy3,ADCY3,Q8VHH7,ADCY3_MOUSE,Adenylate cyclase type 3,14224,15271,No,0.10,0.789392,0.999933
Adcy5,ADCY5,P84309,ADCY5_MOUSE,Adenylate cyclase type 5,27133,25771,No,0.10,0.685959,0.999933
Adcy6,ADCY6,Q01341,ADCY6_MOUSE,Adenylate cyclase type 6,6554,9105,No,-0.41,0.263377,0.999933
Adcy8,ADCY8,P97490,ADCY8_MOUSE,Adenylate cyclase type 8,13946,14310,No,-0.04,0.838127,0.999933
Adcy9,ADCY9,P51830,ADCY9_MOUSE,Adenylate cyclase type 9,48796,48316,No,0.02,0.949629,0.999933
Adcyap1r1,ADCYAP1R1,P70205,PACR_MOUSE,Pituitary adenylate cyclase-activating polypeptide type I receptor,21313,19212,No,0.21,0.546074,0.999933
Add1,ADD1,Q9QYC0,ADDA_MOUSE,Alpha-adducin,111951,100505,No,0.20,0.432361,0.999933
Add2,ADD2,Q9QYB8,ADDB_MOUSE,Beta-adducin,40191,37313,No,0.15,0.597193,0.999933
Add3,ADD3,Q9QYB5,ADDG_MOUSE,Gamma-adducin,122083,105265,No,0.25,0.289869,0.999933
Adgb,ADGB,G3UZ78,ADGB_MOUSE,Androglobin,76423,68353,No,0.09,0.785935,0.999933
Adgra1,ADGRA1,Q8C4G9,AGRA1_MOUSE,Adhesion G protein-coupled receptor A1,25578,24400,No,0.00,0.998216,0.999933
Adgrb1,ADGRB1,Q3UHD1,AGRB1_MOUSE,Adhesion G protein-coupled receptor B1,17155,18728,No,-0.10,0.683675,0.999933
Adgrb2,ADGRB2,Q8CGM1,AGRB2_MOUSE,Adhesion G protein-coupled receptor B2,5329,5952,No,-0.14,0.583398,0.999933
Adgrb3,ADGRB3,Q80ZF8,AGRB3_MOUSE,Adhesion G protein-coupled receptor B3,13509,11610,No,0.28,0.251301,0.999933
Adgrl1,ADGRL1,Q80TR1,AGRL1_MOUSE,Adhesion G protein-coupled receptor L1,20498,20315,No,0.02,0.914797,0.999933
Adgrl2,ADGRL2,Q8JZZ7,AGRL2_MOUSE,Adhesion G protein-coupled receptor L2,5020,5086,No,0.02,0.939659,0.999933
Adgrl3,ADGRL3,Q80TS3,AGRL3_MOUSE,Adhesion G protein-coupled receptor L3,9202,9743,No,0.05,0.907929,0.999933
Adh5,ADH5,P28474,ADHX_MOUSE,Alcohol dehydrogenase class-3,15763,15260,No,0.07,0.768842,0.999933
Adipoq,ADIPOQ,Q60994,ADIPO_MOUSE,Adiponectin,6250,6162,No,0.00,0.999942,0.999942
Adra1b,ADRA1B,P97717,ADA1B_MOUSE,Alpha-1B adrenergic receptor,13771,13041,No,0.20,0.606433,0.999933
Afdn,AFDN,Q9QZQ1,AFAD_MOUSE,Afadin,33644,35143,No,-0.03,0.906003,0.999933
Afg3l2,AFG3L2,Q8JZQ2,AFG32_MOUSE,AFG3-like protein 2,11261,12379,No,-0.08,0.739772,0.999933
Agap2,AGAP2,Q3UHD9,AGAP2_MOUSE,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",10362,8605,No,0.28,0.231739,0.999933
Agap3,AGAP3,Q8VHH5,AGAP3_MOUSE,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",11134,10280,No,0.12,0.636095,0.999933
Agfg1,AGFG1,Q8K2K6,AGFG1_MOUSE,Arf-GAP domain and FG repeat-containing protein 1,30964,33375,No,-0.10,0.732185,0.999933
Agk,AGK,Q9ESW4,AGK_MOUSE,"Acylglycerol kinase, mitochondrial",9204,12883,No,-0.41,0.165733,0.999933
Ago1,AGO1,Q8CJG1,AGO1_MOUSE,Protein argonaute-1,10636,11839,No,-0.16,0.467146,0.999933
Ago2,AGO2,Q8CJG0,AGO2_MOUSE,Protein argonaute-2,9091,8889,No,0.03,0.883485,0.999933
Agpat1,AGPAT1,O35083,PLCA_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,54367,49162,No,0.13,0.797608,0.999933
Agpat3,AGPAT3,Q9D517,PLCC_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,42954,39909,No,0.12,0.578573,0.999933
Agpat4,AGPAT4,Q8K4X7,PLCD_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,37312,38609,No,-0.01,0.952307,0.999933
Agpat5,AGPAT5,Q9D1E8,PLCE_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,42635,41765,No,0.03,0.888092,0.999933
Agrn,AGRN,A2ASQ1,AGRIN_MOUSE,Agrin,9670,7751,No,0.31,0.310078,0.999933
Ahcy,AHCY,P50247,SAHH_MOUSE,Adenosylhomocysteinase,20542,18710,No,0.06,0.827594,0.999933
Ahcyl1,AHCYL1,Q80SW1,SAHH2_MOUSE,S-adenosylhomocysteine hydrolase-like protein 1,360777,300035,No,0.32,0.205953,0.999933
Ahcyl2,AHCYL2,Q68FL4,SAHH3_MOUSE,Putative adenosylhomocysteinase 3,17392,15625,No,0.19,0.470992,0.999933
Ahi1,AHI1,Q8K3E5,AHI1_MOUSE,Jouberin,5748,6883,No,-0.20,0.564648,0.999933
Ahsa1,AHSA1,Q8BK64,AHSA1_MOUSE,Activator of 90 kDa heat shock protein ATPase homolog 1,6377,5548,No,0.32,0.508174,0.999933
Aifm1,AIFM1,Q9Z0X1,AIFM1_MOUSE,"Apoptosis-inducing factor 1, mitochondrial",31315,27229,No,0.26,0.335758,0.999933
Aifm3,AIFM3,Q3TY86,AIFM3_MOUSE,Apoptosis-inducing factor 3,27812,28813,No,-0.02,0.920987,0.999933
Ajm1,NA,A2AJA9,AJM1_MOUSE,Apical junction component 1 homolog,13569,11903,No,0.24,0.402790,0.999933
Ak1,AK1,Q9R0Y5,KAD1_MOUSE,Adenylate kinase isoenzyme 1,11323,8775,No,0.54,0.386370,0.999933
Ak4,AK4,Q9WUR9,KAD4_MOUSE,"Adenylate kinase 4, mitochondrial",4371,4415,No,0.02,0.969658,0.999933
Akap1,AKAP1,O08715,AKAP1_MOUSE,"A-kinase anchor protein 1, mitochondrial",3880,7697,No,-0.82,0.058611,0.999933
Akap2,AKAP2,O54931,AKAP2_MOUSE,A-kinase anchor protein 2,8548,14015,No,-0.49,0.277667,0.999933
Akap5,AKAP5,D3YVF0,AKAP5_MOUSE,A-kinase anchor protein 5,7448,7431,No,0.04,0.889942,0.999933
Akap7,AKAP7,Q7TN79,AKA7G_MOUSE,A-kinase anchor protein 7 isoform gamma,4836,5214,No,-0.12,0.678875,0.999933
Akap9,AKAP9,Q70FJ1,AKAP9_MOUSE,A-kinase anchor protein 9,11974,10135,No,0.14,0.707109,0.999933
Akr1b1,NA,P45376,ALDR_MOUSE,Aldo-keto reductase family 1 member B1,10472,9107,No,0.24,0.509670,0.999933
Akr1b8,AKR1B10,P45377,ALD2_MOUSE,Aldose reductase-related protein 2,5600,6682,No,-0.24,0.468896,0.999933
Alcam,ALCAM,Q61490,CD166_MOUSE,CD166 antigen,9140,14224,No,-0.53,0.106509,0.999933
Aldh18a1,ALDH18A1,Q9Z110,P5CS_MOUSE,Delta-1-pyrroline-5-carboxylate synthase,10164,9839,No,0.04,0.899592,0.999933
Aldh1l1,ALDH1L1,Q8R0Y6,AL1L1_MOUSE,Cytosolic 10-formyltetrahydrofolate dehydrogenase,15194,11337,No,0.46,0.072654,0.999933
Aldh2,ALDH2,P47738,ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial",13505,15057,No,-0.12,0.700240,0.999933
Aldh3a2,ALDH3A2,P47740,AL3A2_MOUSE,Aldehyde dehydrogenase family 3 member A2,11348,9465,No,0.34,0.447636,0.999933
Aldh3b1,ALDH3B1,Q80VQ0,AL3B1_MOUSE,Aldehyde dehydrogenase family 3 member B1,11026,11182,No,-0.02,0.956206,0.999933
Aldh5a1,ALDH5A1,Q8BWF0,SSDH_MOUSE,"Succinate-semialdehyde dehydrogenase, mitochondrial",17492,18630,No,-0.08,0.765591,0.999933
Aldh6a1,ALDH6A1,Q9EQ20,MMSA_MOUSE,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",11783,11882,No,-0.03,0.935723,0.999933
Aldh7a1,ALDH7A1,Q9DBF1,AL7A1_MOUSE,Alpha-aminoadipic semialdehyde dehydrogenase,9243,10027,No,-0.11,0.688818,0.999933
Aldh9a1,ALDH9A1,Q9JLJ2,AL9A1_MOUSE,4-trimethylaminobutyraldehyde dehydrogenase,15783,13740,No,0.12,0.748408,0.999933
Aldoa,ALDOA,P00883,ALDOA_RABIT,Fructose-bisphosphate aldolase A,48584,51046,No,-0.05,0.899559,0.999933
Aldoc,ALDOC,P05063,ALDOC_MOUSE,Fructose-bisphosphate aldolase C,14840,15429,No,-0.05,0.888607,0.999933
Alg10b,ALG10,Q3UGP8,AG10B_MOUSE,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",9356,9709,No,-0.06,0.900378,0.999933
Alg11,ALG11,Q3TZM9,ALG11_MOUSE,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",6809,5421,No,0.31,0.368912,0.999933
Alg2,ALG2,Q9DBE8,ALG2_MOUSE,"Alpha-1,3/1,6-mannosyltransferase ALG2",16700,16748,No,0.05,0.846614,0.999933
Alg5,ALG5,Q9DB25,ALG5_MOUSE,Dolichyl-phosphate beta-glucosyltransferase,10140,9164,No,0.15,0.557937,0.999933
Alg9,ALG9,Q8VDI9,ALG9_MOUSE,"Alpha-1,2-mannosyltransferase ALG9",6167,8776,No,-0.53,0.113602,0.999933
Aloxe3,ALOXE3,Q9WV07,LOXE3_MOUSE,Hydroperoxide isomerase ALOXE3,4138,4920,No,-0.28,0.620602,0.999933
Als2,ALS2,Q920R0,ALS2_MOUSE,Alsin,4573,4428,No,0.00,0.992472,0.999933
Amer2,AMER2,Q8CCJ4,AMER2_MOUSE,APC membrane recruitment protein 2,10077,10043,No,0.02,0.926828,0.999933
Amfr,AMFR,Q9R049,AMFR_MOUSE,E3 ubiquitin-protein ligase AMFR,20421,17715,No,0.21,0.414337,0.999933
Amot,AMOT,Q8VHG2,AMOT_MOUSE,Angiomotin,55094,49335,No,0.14,0.623358,0.999933
Amotl1,AMOTL1,Q9D4H4,AMOL1_MOUSE,Angiomotin-like protein 1,35562,27924,No,0.34,0.243826,0.999933
Ampd2,AMPD2,Q9DBT5,AMPD2_MOUSE,AMP deaminase 2,7893,8002,No,-0.04,0.893179,0.999933
Ampd3,AMPD3,O08739,AMPD3_MOUSE,AMP deaminase 3,12382,5740,No,0.95,0.167472,0.999933
Amph,AMPH,Q7TQF7,AMPH_MOUSE,Amphiphysin,24086,27171,No,-0.19,0.492575,0.999933
Anapc4,ANAPC4,Q91W96,APC4_MOUSE,Anaphase-promoting complex subunit 4,4895,4894,No,0.01,0.978189,0.999933
Angptl1,ANGPTL1,Q640P2,ANGL1_MOUSE,Angiopoietin-related protein 1,66204,114603,No,-0.29,0.587190,0.999933
Ank1,ANK1,Q02357,ANK1_MOUSE,Ankyrin-1,23168,20229,No,0.20,0.381322,0.999933
Ank2,ANK2,Q8C8R3,ANK2_MOUSE,Ankyrin-2,123456,101787,No,0.30,0.218094,0.999933
Ank3,ANK3,G5E8K5,ANK3_MOUSE,Ankyrin-3,71065,61902,No,0.23,0.377841,0.999933
Ankfy1,ANKFY1,Q810B6,ANFY1_MOUSE,Rabankyrin-5,17077,12970,No,0.34,0.398327,0.999933
Ankle2,ANKLE2,Q6P1H6,ANKL2_MOUSE,Ankyrin repeat and LEM domain-containing protein 2,26210,26200,No,0.02,0.915548,0.999933
Ankrd28,ANKRD28,Q505D1,ANR28_MOUSE,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,5514,6515,No,-0.16,0.685678,0.999933
Anks1a,NA,P59672,ANS1A_MOUSE,Ankyrin repeat and SAM domain-containing protein 1A,8250,7139,No,0.35,0.446555,0.999933
Anks1b,ANKS1B,Q8BIZ1,ANS1B_MOUSE,Ankyrin repeat and sterile alpha motif domain-containing protein 1B,22567,24016,No,-0.06,0.817087,0.999933
Ano10,ANO10,Q8BH79,ANO10_MOUSE,Anoctamin-10,14741,12616,No,0.26,0.378306,0.999933
Ano6,ANO6,Q6P9J9,ANO6_MOUSE,Anoctamin-6,4504,4453,No,0.01,0.984118,0.999933
Ano8,ANO8,Q6PB70,ANO8_MOUSE,Anoctamin-8,12883,11222,No,0.27,0.333348,0.999933
Anxa1,ANXA1,P10107,ANXA1_MOUSE,Annexin A1,11989,8151,No,0.62,0.167469,0.999933
Anxa11,ANXA11,P97384,ANX11_MOUSE,Annexin A11,5300,7263,No,-0.41,0.327421,0.999933
Anxa2,ANXA2,P07356,ANXA2_MOUSE,Annexin A2,39680,37780,No,0.12,0.783008,0.999933
Anxa5,ANXA5,P08758,ANXA5_HUMAN,Annexin A5,14855,16966,No,-0.15,0.536992,0.999933
Anxa6,ANXA6,P14824,ANXA6_MOUSE,Annexin A6,15525,17388,No,-0.13,0.625814,0.999933
Anxa7,ANXA7,Q07076,ANXA7_MOUSE,Annexin A7,8492,9597,No,-0.26,0.402891,0.999933
Aoc3,AOC3,O70423,AOC3_MOUSE,Membrane primary amine oxidase,36708,32160,No,-0.09,0.835683,0.999933
Ap1b1,AP1B1,O35643,AP1B1_MOUSE,AP-1 complex subunit beta-1,10670,9618,No,0.17,0.459159,0.999933
Ap1g1,AP1G1,P22892,AP1G1_MOUSE,AP-1 complex subunit gamma-1,6976,6042,No,0.12,0.719972,0.999933
Ap1m1,AP1M1,P35585,AP1M1_MOUSE,AP-1 complex subunit mu-1,20409,18293,No,0.14,0.588417,0.999933
Ap1s1,AP1S1,P61967,AP1S1_MOUSE,AP-1 complex subunit sigma-1A,9152,9309,No,0.09,0.801373,0.999933
Ap1s2,AP1S2,Q9DB50,AP1S2_MOUSE,AP-1 complex subunit sigma-2,35975,38078,No,-0.10,0.729707,0.999933
Ap2a1,AP2A1,P17426,AP2A1_MOUSE,AP-2 complex subunit alpha-1,67651,53774,No,0.33,0.323530,0.999933
Ap2a2,AP2A2,P17427,AP2A2_MOUSE,AP-2 complex subunit alpha-2,36545,27583,No,0.38,0.252760,0.999933
Ap2b1,AP2B1,Q9DBG3,AP2B1_MOUSE,AP-2 complex subunit beta,68254,55024,No,0.29,0.314336,0.999933
Ap2m1,AP2M1,P84091,AP2M1_MOUSE,AP-2 complex subunit mu,795814,748351,No,0.11,0.588134,0.999933
Ap2s1,AP2S1,P62743,AP2S1_MOUSE,AP-2 complex subunit sigma,604633,546652,No,0.14,0.505956,0.999933
Ap3b1,AP3B1,Q9Z1T1,AP3B1_MOUSE,AP-3 complex subunit beta-1,24472,20531,No,0.34,0.265766,0.999933
Ap3b2,AP3B2,Q9JME5,AP3B2_MOUSE,AP-3 complex subunit beta-2,13671,11076,No,0.28,0.289944,0.999933
Ap3d1,AP3D1,O54774,AP3D1_MOUSE,AP-3 complex subunit delta-1,20519,20862,No,0.00,0.995786,0.999933
Ap3m1,AP3M1,Q9JKC8,AP3M1_MOUSE,AP-3 complex subunit mu-1,7293,7008,No,0.06,0.855215,0.999933
Ap3m2,AP3M2,Q8R2R9,AP3M2_MOUSE,AP-3 complex subunit mu-2,18712,18179,No,0.06,0.795690,0.999933
Ap3s2,AP3S2,Q8BSZ2,AP3S2_MOUSE,AP-3 complex subunit sigma-2,7281,6489,No,0.18,0.681835,0.999933
Apbb1,APBB1,Q9QXJ1,APBB1_MOUSE,Amyloid-beta A4 precursor protein-binding family B member 1,10389,7660,No,0.44,0.169712,0.999933
Apeh,APEH,Q8R146,APEH_MOUSE,Acylamino-acid-releasing enzyme,6586,6786,No,0.03,0.935108,0.999933
Apmap,APMAP,Q9D7N9,APMAP_MOUSE,Adipocyte plasma membrane-associated protein,10938,9198,No,0.29,0.242425,0.999933
